Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB,Error_pct
2023,7,"aguascalientes, ags.",belgica,hombre,1,1.6772623,67.7
2023,8,"aguascalientes, ags.",belgica,hombre,1,1.6515769,65.2
2023,10,"aguascalientes, ags.",belgica,hombre,2,1.6565249,17.2
2023,11,"aguascalientes, ags.",belgica,hombre,4,1.619189,59.5
2023,12,"aguascalientes, ags.",belgica,hombre,2,1.8350388,8.2
2023,6,"aguascalientes, ags.",belgica,mujer,1,1.2264558,22.6
2023,1,"aguascalientes, ags.",brasil,hombre,1,1.3904965,39.0
2023,2,"aguascalientes, ags.",brasil,hombre,5,1.364948,72.7
2023,3,"aguascalientes, ags.",brasil,hombre,4,2.039106,49.0
2023,4,"aguascalientes, ags.",brasil,hombre,4,3.1086614,22.3
2023,5,"aguascalientes, ags.",brasil,hombre,9,3.1133077,65.4
2023,6,"aguascalientes, ags.",brasil,hombre,3,4.1377587,37.9
2023,7,"aguascalientes, ags.",brasil,hombre,3,3.5454004,18.2
2023,8,"aguascalientes, ags.",brasil,hombre,5,3.1686327,36.6
2023,9,"aguascalientes, ags.",brasil,hombre,3,2.9830515,0.6
2023,10,"aguascalientes, ags.",brasil,hombre,2,2.9777646,48.9
2023,11,"aguascalientes, ags.",brasil,hombre,1,2.5445004,154.5
2023,12,"aguascalientes, ags.",brasil,hombre,2,1.5281733,23.6
2023,4,"aguascalientes, ags.",brasil,mujer,2,1.9856215,0.7
2023,5,"aguascalientes, ags.",brasil,mujer,3,1.9757084,34.1
2023,7,"aguascalientes, ags.",brasil,mujer,2,2.1588416,7.9
2023,8,"aguascalientes, ags.",brasil,mujer,3,2.258511,24.7
2023,9,"aguascalientes, ags.",brasil,mujer,4,2.3478045,41.3
2023,11,"aguascalientes, ags.",brasil,mujer,1,2.4596157,146.0
2023,6,"aguascalientes, ags.",bulgaria,hombre,1,1.4885273,48.9
2023,3,"aguascalientes, ags.",bulgaria,mujer,1,1.1048696,10.5
2023,9,"aguascalientes, ags.",bulgaria,mujer,1,1.1356682,13.6
2023,1,"aguascalientes, ags.",canada,hombre,19,6.8212004,64.1
2023,2,"aguascalientes, ags.",canada,hombre,27,10.911206,59.6
2023,3,"aguascalientes, ags.",canada,hombre,25,18.143938,27.4
2023,4,"aguascalientes, ags.",canada,hombre,26,22.017263,15.3
2023,5,"aguascalientes, ags.",canada,hombre,32,16.847021,47.4
2023,6,"aguascalientes, ags.",canada,hombre,10,14.456443,44.6
2023,7,"aguascalientes, ags.",canada,hombre,19,13.129084,30.9
2023,8,"aguascalientes, ags.",canada,hombre,40,18.4568,53.9
2023,9,"aguascalientes, ags.",canada,hombre,21,19.782396,5.8
2023,10,"aguascalientes, ags.",canada,hombre,40,21.017065,47.5
2023,11,"aguascalientes, ags.",canada,hombre,30,37.856224,26.2
2023,12,"aguascalientes, ags.",canada,hombre,46,23.245817,49.5
2023,1,"aguascalientes, ags.",canada,mujer,17,4.455093,73.8
