Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB_Mejorado,Error_pct
2023,7,"aguascalientes, ags.",arabia saudita,mujer,1,1.582673,58.3
2023,2,"aguascalientes, ags.",argentina,hombre,1,2.0819175,108.2
2023,3,"aguascalientes, ags.",argentina,hombre,3,1.9055885,36.5
2023,4,"aguascalientes, ags.",argentina,hombre,3,2.1038136,29.9
2023,5,"aguascalientes, ags.",argentina,hombre,2,2.0084865,0.4
2023,6,"aguascalientes, ags.",argentina,hombre,1,1.9191024,91.9
2023,8,"aguascalientes, ags.",argentina,hombre,1,1.9662789,96.6
2023,9,"aguascalientes, ags.",argentina,hombre,2,1.6172633,19.1
2023,11,"aguascalientes, ags.",argentina,hombre,1,1.6236272,62.4
2023,5,"aguascalientes, ags.",argentina,mujer,1,1.8355491,83.6
2023,9,"aguascalientes, ags.",argentina,mujer,2,1.7768283,11.2
2023,10,"aguascalientes, ags.",argentina,mujer,3,1.9375199,35.4
2023,2,"aguascalientes, ags.",australia,hombre,2,2.0124943,0.6
2023,4,"aguascalientes, ags.",australia,hombre,3,2.2938552,23.5
2023,5,"aguascalientes, ags.",australia,hombre,1,2.2374785,123.7
2023,6,"aguascalientes, ags.",australia,hombre,3,2.1929204,26.9
2023,7,"aguascalientes, ags.",australia,hombre,1,2.1460316,114.6
2023,8,"aguascalientes, ags.",australia,hombre,1,2.03885,103.9
2023,9,"aguascalientes, ags.",australia,hombre,3,2.0148435,32.8
2023,10,"aguascalientes, ags.",australia,hombre,5,2.4237208,51.5
2023,11,"aguascalientes, ags.",australia,hombre,4,2.9588711,26.0
2023,12,"aguascalientes, ags.",australia,hombre,3,3.4140682,13.8
2023,4,"aguascalientes, ags.",australia,mujer,1,2.1310642,113.1
2023,7,"aguascalientes, ags.",australia,mujer,2,1.8089528,9.6
2023,8,"aguascalientes, ags.",australia,mujer,1,2.0532188,105.3
2023,9,"aguascalientes, ags.",australia,mujer,2,1.8767402,6.2
2023,10,"aguascalientes, ags.",australia,mujer,8,2.3041098,71.2
2023,11,"aguascalientes, ags.",australia,mujer,1,2.3049536,130.5
2023,12,"aguascalientes, ags.",australia,mujer,1,2.354384,135.4
2023,1,"aguascalientes, ags.",austria,hombre,1,2.032509,103.3
2023,2,"aguascalientes, ags.",austria,hombre,1,1.6758293,67.6
2023,5,"aguascalientes, ags.",austria,hombre,1,1.728354,72.8
2023,8,"aguascalientes, ags.",austria,hombre,2,1.4509348,27.5
2023,11,"aguascalientes, ags.",austria,hombre,1,1.682758,68.3
2023,1,"aguascalientes, ags.",austria,mujer,1,1.2496482,25.0
2023,2,"aguascalientes, ags.",austria,mujer,1,1.2541176,25.4
2023,8,"aguascalientes, ags.",austria,mujer,1,1.3496487,35.0
2023,4,"aguascalientes, ags.",bahamas (commonwealth),hombre,1,1.2471274,24.7
2023,9,"aguascalientes, ags.",bahamas (commonwealth),mujer,1,1.3626604,36.3
2023,9,"aguascalientes, ags.",barbados,mujer,1,1.2740189,27.4
2023,1,"aguascalientes, ags.",belgica,hombre,1,1.5702939,57.0
2023,3,"aguascalientes, ags.",belgica,hombre,2,1.5993958,20.0
2023,4,"aguascalientes, ags.",belgica,hombre,1,1.7982043,79.8
2023,5,"aguascalientes, ags.",belgica,hombre,3,1.5251842,49.2
2023,7,"aguascalientes, ags.",belgica,hombre,1,1.7324687,73.2
2023,8,"aguascalientes, ags.",belgica,hombre,1,1.6953808,69.5
2023,10,"aguascalientes, ags.",belgica,hombre,2,1.7235582,13.8
2023,11,"aguascalientes, ags.",belgica,hombre,4,1.7079328,57.3
2023,12,"aguascalientes, ags.",belgica,hombre,2,1.8964204,5.2
2023,6,"aguascalientes, ags.",belgica,mujer,1,1.2681491,26.8
2023,1,"aguascalientes, ags.",brasil,hombre,1,1.6691005,66.9
2023,2,"aguascalientes, ags.",brasil,hombre,5,1.704499,65.9
2023,3,"aguascalientes, ags.",brasil,hombre,4,2.5015435,37.5
2023,4,"aguascalientes, ags.",brasil,hombre,4,3.5037107,12.4
2023,5,"aguascalientes, ags.",brasil,hombre,9,3.6620617,59.3
2023,6,"aguascalientes, ags.",brasil,hombre,3,3.4704251,15.7
2023,7,"aguascalientes, ags.",brasil,hombre,3,3.7644327,25.5
2023,8,"aguascalientes, ags.",brasil,hombre,5,3.6229312,27.5
2023,9,"aguascalientes, ags.",brasil,hombre,3,3.075172,2.5
2023,10,"aguascalientes, ags.",brasil,hombre,2,3.0708675,53.5
2023,11,"aguascalientes, ags.",brasil,hombre,1,2.7672982,176.7
2023,12,"aguascalientes, ags.",brasil,hombre,2,1.5972108,20.1
2023,4,"aguascalientes, ags.",brasil,mujer,2,1.9940001,0.3
2023,5,"aguascalientes, ags.",brasil,mujer,3,2.0328226,32.2
2023,7,"aguascalientes, ags.",brasil,mujer,2,2.2418964,12.1
2023,8,"aguascalientes, ags.",brasil,mujer,3,2.4472253,18.4
2023,9,"aguascalientes, ags.",brasil,mujer,4,2.6618261,33.5
2023,11,"aguascalientes, ags.",brasil,mujer,1,2.4678752,146.8
2023,6,"aguascalientes, ags.",bulgaria,hombre,1,1.4493545,44.9
2023,3,"aguascalientes, ags.",bulgaria,mujer,1,1.1523796,15.2
2023,9,"aguascalientes, ags.",bulgaria,mujer,1,1.172597,17.3
2023,1,"aguascalientes, ags.",canada,hombre,19,19.557724,2.9
2023,2,"aguascalientes, ags.",canada,hombre,27,22.336891,17.3
